character_ID,character_name,character_info
6321,Captain Voyager,cosmic stealth
6322,Mountain Warrior,electric creation
6323,Night Rogue,teleporting destruction
6324,Nebula Hunter,cosmic illusion
6325,Dark Enforcer,dark telepathy
6326,Cosmic Mistress,strong weather control
6327,Galactic Reaper,stealthy prediction
6328,Silver Explorer,sonic speed
6329,Captain Lord,healing command
6330,Captain Monarch,omniscient magic
6331,Iron Titan,luminous strength
6332,Arctic Conqueror,elemental technology
6333,Oceanic Rogue,icy force
6334,Iron Ranger,fiery time travel
6335,Meteor Rogue,time-controlling technology
6336,Nebula Explorer,magical stealth
6337,Crimson Hunter,earthen protection
6338,Venomous Marvelous,cosmic technology
6339,Venomous Sage,luminous resurrection
6340,Captain Falcon,time-controlling creation
6341,Night Phantom,psychic technology
6342,Cosmic Rogue,stealthy powers
6343,Star Nomad,electric skills
6344,Shadow Specter,brave intelligence
6345,Spectral Marvelous,lucky mastery
6346,Shadow Viper,elemental abilities
6347,Dark Ranger,magical manipulation
6348,Mountain Sage,icy speed
6349,Lunar Nomad,invisible speed
6350,Arctic Lord,lucky powers
6351,Quantum Explorer,flying prediction
6352,Terra Stalker,windy abilities
6353,Galactic Nomad,windy transformation
6354,Arctic Rogue,time-controlling protection
6355,Solar Guardian,omniscient protection
6356,Star Guardian,windy creation
6357,Mighty Conqueror,electric transformation
6358,Nebula Titan,earthen magic
6359,Venomous Mistress,windy technology
6360,Phantom Reaper,windy weather control
6361,Captain Specter,healing protection
6362,Night Reaper,electric energy blasts
6363,Inferno Voyager,luminous speed
6364,Cosmic Prophet,gravity-defying invisibility
6365,Lunar Sentinel,dark manipulation
6366,Solar Wizard,strong mind control
6367,Night Widow,psychic strength
6368,Arctic Enforcer,strong telepathy
6369,Blizzard Viper,cursed technology
6370,Mountain Sentinel,strong telekinesis
6371,Thunder Specter,flying resurrection
6372,Shadow Sentinel,dark stealth
6373,Spectral Enforcer,luminous abilities
6374,Galactic Voyager,teleporting healing
6375,Quantum Falcon,luminous weather control
6376,Night Specter,mystical invisibility
6377,Iron Warrior,cursed abilities
6378,Celestial Stalker,teleporting powers
6379,Eternal Marvelous,untouchable control
6380,Spectral Specter,gravity-defying speed
6381,Dark Viper,fiery energy blasts
6382,Celestial Ranger,earthen time travel
6383,Cosmic Titan,technological force fields
6384,Venomous Nomad,stealthy stealth
6385,Phantom Nomad,strong magic
